# q (1/Angstrom), Intensity (counts)
4.000000476609962691e-02,2.090190040525360018e+03
4.100000488524913056e-02,2.072913272910447631e+03
4.200000500439864115e-02,2.049990267335734188e+03
4.300000512354814480e-02,2.027762850007098450e+03
4.400000524269764846e-02,2.004579282976325658e+03
4.500000536184715905e-02,1.982053478214775623e+03
4.600000548099666270e-02,1.967255646929597560e+03
4.700000560014616635e-02,1.953957046236812175e+03
4.800000571929567000e-02,1.931580118738109832e+03
4.900000583844518059e-02,1.903574011691137912e+03
5.000000595759468425e-02,1.881960869758347599e+03
5.100000607674420178e-02,1.858457400487873429e+03
5.200000619589369155e-02,1.837789819499644636e+03
5.300000631504320214e-02,1.811628668638397812e+03
5.400000643419271967e-02,1.784943924997359773e+03
5.500000655334220945e-02,1.753423085898684349e+03
5.600000667249172004e-02,1.725713750277396457e+03
5.700000679164123757e-02,1.693514335232581971e+03
5.800000691079072734e-02,1.662829400544924738e+03
5.900000702994023793e-02,1.634827137442958701e+03
6.000000714908973465e-02,1.609143883886064941e+03
6.100000726823924524e-02,1.579317836662834907e+03
6.200000738738875583e-02,1.549867744344078346e+03
6.300000750653825254e-02,1.517653453292617996e+03
6.400000762568776314e-02,1.487496226537166194e+03
6.500000774483727373e-02,1.459171976962280496e+03
6.600000786398677044e-02,1.430781714491483399e+03
6.700000798313628103e-02,1.397174099070252623e+03
6.800000810228579162e-02,1.365897982733188883e+03
6.900000822143528834e-02,1.331719438005816983e+03
7.000000834058479893e-02,1.299469723001382590e+03
7.100000845973430952e-02,1.264533530311267214e+03
7.200000857888380623e-02,1.230038381341948707e+03
7.300000869803331682e-02,1.199986012290278040e+03
7.400000881718282741e-02,1.167804385949661764e+03
7.500000893633232413e-02,1.134913928529233999e+03
7.600000905548183472e-02,1.105469117141708466e+03
7.700000917463134531e-02,1.073399689365057384e+03
7.800000929378084202e-02,1.042599666397180727e+03
7.900000941293035261e-02,1.011816481179148468e+03
8.000000953207986321e-02,9.816702864760978855e+02
8.100000965122935992e-02,9.516028339762001451e+02
8.200000977037887051e-02,9.232129082723988631e+02
8.300000988952838110e-02,8.938483006591837920e+02
8.400001000867787782e-02,8.647350933930831616e+02
8.500001012782738841e-02,8.371928545971934454e+02
8.600001024697689900e-02,8.094403530850250945e+02
8.700001036612639571e-02,7.831805012245389435e+02
8.800001048527590630e-02,7.585108855018175973e+02
8.900001060442541689e-02,7.313229775676567215e+02
9.000001072357491361e-02,7.063192218345227502e+02
9.100001084272442420e-02,6.789270281365725168e+02
9.200001096187392091e-02,6.533882815898031140e+02
9.300001108102343150e-02,6.313540741069074329e+02
9.400001120017294209e-02,6.082073408600523408e+02
9.500001131932243881e-02,5.850004846027011354e+02
9.600001143847194940e-02,5.631393271866736541e+02
9.700001155762145999e-02,5.414965533064324745e+02
9.800001167677095670e-02,5.203958705362751971e+02
9.900001179592046729e-02,4.982291401459827966e+02
1.000000119150699779e-01,4.766233636741126816e+02
1.010000120342194885e-01,4.569114520713994239e+02
1.020000121533689852e-01,4.377604415538133367e+02
1.030000122725184958e-01,4.191211020157302869e+02
1.040000123916680064e-01,4.010831564287404944e+02
1.050000125108175031e-01,3.832405775058712152e+02
1.060000126299670137e-01,3.648866170203676234e+02
1.070000127491165243e-01,3.470425894723450142e+02
1.080000128682660210e-01,3.312187004513309603e+02
1.090000129874155316e-01,3.161339352997453034e+02
1.100000131065650422e-01,3.003136734496163740e+02
1.110000132257145389e-01,2.860398849034756950e+02
1.120000133448640495e-01,2.718422839536506785e+02
1.130000134640135601e-01,2.568877311079154424e+02
1.140000135831630568e-01,2.435659686139483711e+02
1.150000137023125674e-01,2.318006664972132853e+02
1.160000138214620641e-01,2.193088855352893063e+02
1.170000139406115747e-01,2.071831154919041182e+02
1.180000140597610853e-01,1.958904107340029839e+02
1.190000141789105820e-01,1.847073679886607636e+02
1.200000142980600926e-01,1.749300300856675676e+02
1.210000144172096032e-01,1.642238680472065369e+02
1.220000145363590999e-01,1.541539174860708954e+02
1.230000146555086105e-01,1.451883384123658516e+02
1.240000147746581211e-01,1.348977193671948953e+02
1.250000148938076039e-01,1.272250500824723645e+02
1.260000150129571284e-01,1.192830138901144466e+02
