Downsampling statistics: 
 [before downsampling, after downsampling] 
 
by_exp
R1 : [292, 66]
R2 : [119, 49]
R3 : [144, 53]
R7 : [88, 60]
Reaction_A : [75, 42]
Reaction_B : [64, 41]
Reaction_C : [87, 39]
Reaction_D : [69, 40]
Reaction_E : [59, 38]
Reaction_G : [50, 39]
Reaction_H : [62, 41]
R12 : [306, 145]
R13 : [103, 46]

by_sys_class
pop0_unidentified : [457, 241]
pop0_hard_spheres__site0_guinier_porod : [138, 129]
pop0_diffuse__site0_spherical_normal__pop1_hard_spheres__site0_guinier_porod : [122, 94]
pop0_diffuse__site0_spherical_normal__pop1_fcc__site0_spherical : [54, 40]
pop0_diffuse__site0_spherical_normal : [507, 60]
pop0_diffuse__site0_spherical_normal__pop1_hard_spheres__site0_guinier_porod__pop2_hard_spheres__site0_spherical_normal : [5, 5]
pop0_diffuse__site0_guinier_porod__pop1_diffuse__site0_spherical_normal__pop2_hard_spheres__site0_spherical_normal : [1, 1]
pop0_diffuse__site0_guinier_porod__pop1_diffuse__site0_spherical_normal__pop2_fcc__site0_spherical : [114, 54]
pop0_diffuse__site0_guinier_porod : [109, 64]
pop0_diffuse__site0_guinier_porod__pop1_diffuse__site0_spherical_normal : [11, 11]

